dateId,BundeslandID,Bundesland,FZHosp,FZICU,TestGesamt
20200401,1,Burgenland,7,3,0
20200401,2,Kärnten,18,11,0
20200401,3,Niederösterreich,164,36,9395
20200401,4,Oberösterreich,113,29,0
20200401,5,Salzburg,56,10,7439
20200401,6,Steiermark,138,27,0
20200401,7,Tirol,156,57,0
20200401,8,Vorarlberg,39,12,0
20200401,9,Wien,165,30,0
20200401,10,Alle,856,215,16834
20200402,1,Burgenland,10,3,1265
20200402,2,Kärnten,17,1,4078
20200402,3,Niederösterreich,160,43,9982
20200402,4,Oberösterreich,107,31,15740
20200402,5,Salzburg,52,13,8046
20200402,6,Steiermark,121,28,9127
20200402,7,Tirol,159,56,21051
20200402,8,Vorarlberg,39,12,4021
20200402,9,Wien,158,32,18880
20200402,10,Alle,823,219,92190
20200403,1,Burgenland,8,4,1375
20200403,2,Kärnten,17,11,4303
20200403,3,Niederösterreich,160,43,10566
20200403,4,Oberösterreich,102,33,17287
20200403,5,Salzburg,59,14,8783
20200403,6,Steiermark,134,30,9694
20200403,7,Tirol,154,55,22328
20200403,8,Vorarlberg,39,12,4389
20200403,9,Wien,156,43,19618
20200403,10,Alle,829,245,98343
20200404,1,Burgenland,7,3,1486
20200404,2,Kärnten,21,11,4509
20200404,3,Niederösterreich,167,39,11086
20200404,4,Oberösterreich,102,33,18643
20200404,5,Salzburg,64,15,9361
20200404,6,Steiermark,126,34,10262
20200404,7,Tirol,156,54,23246
20200404,8,Vorarlberg,35,12,4801
20200404,9,Wien,148,44,20740
20200404,10,Alle,826,245,104134
20200405,1,Burgenland,6,6,1495
20200405,2,Kärnten,22,13,4601
20200405,3,Niederösterreich,69,43,11397
20200405,4,Oberösterreich,104,32,19496
20200405,5,Salzburg,76,14,9641
20200405,6,Steiermark,110,28,10715
20200405,7,Tirol,142,54,23962
20200405,8,Vorarlberg,33,12,4965
20200405,9,Wien,150,42,22144
20200405,10,Alle,712,244,108416
20200406,1,Burgenland,5,6,1521
20200406,2,Kärnten,22,12,4682
20200406,3,Niederösterreich,164,43,11829
20200406,4,Oberösterreich,106,29,20041
20200406,5,Salzburg,72,18,9799
20200406,6,Steiermark,125,30,11049
20200406,7,Tirol,141,59,24412
20200406,8,Vorarlberg,32,11,5165
20200406,9,Wien,157,42,22798
20200406,10,Alle,824,250,111296
20200407,1,Burgenland,9,4,1639
20200407,2,Kärnten,23,12,4895
20200407,3,Niederösterreich,169,48,12393
20200407,4,Oberösterreich,94,31,20853
20200407,5,Salzburg,79,16,9978
20200407,6,Steiermark,137,29,11522
20200407,7,Tirol,156,59,25061
20200407,8,Vorarlberg,32,11,5235
20200407,9,Wien,158,33,23659
20200407,10,Alle,857,243,115235
20200408,1,Burgenland,10,2,1609
20200408,2,Kärnten,21,12,5199
20200408,3,Niederösterreich,153,55,12911
20200408,4,Oberösterreich,119,33,21846
20200408,5,Salzburg,69,21,10605
20200408,6,Steiermark,143,33,12184
20200408,7,Tirol,132,65,26141
20200408,8,Vorarlberg,29,11,5391
20200408,9,Wien,153,35,24869
20200408,10,Alle,829,267,120755
20200409,1,Burgenland,11,4,1667
20200409,2,Kärnten,19,13,5573
20200409,3,Niederösterreich,154,54,13457
20200409,4,Oberösterreich,117,29,22839
20200409,5,Salzburg,75,19,11101
20200409,6,Steiermark,141,31,12753
20200409,7,Tirol,123,65,27174
20200409,8,Vorarlberg,29,11,5609
20200409,9,Wien,151,40,26114
20200409,10,Alle,820,266,126287
20200410,1,Burgenland,8,4,1736
20200410,2,Kärnten,18,12,5891
20200410,3,Niederösterreich,152,53,14061
20200410,4,Oberösterreich,92,28,23638
20200410,5,Salzburg,74,19,11521
20200410,6,Steiermark,131,32,13390
20200410,7,Tirol,122,61,30904
20200410,8,Vorarlberg,27,11,5958
20200410,9,Wien,147,41,27644
20200410,10,Alle,771,261,134743
20200411,1,Burgenland,11,3,1768
20200411,2,Kärnten,19,10,6082
20200411,3,Niederösterreich,194,42,14544
20200411,4,Oberösterreich,87,29,24818
20200411,5,Salzburg,70,18,11864
20200411,6,Steiermark,116,33,13954
20200411,7,Tirol,116,63,32951
20200411,8,Vorarlberg,27,10,6082
20200411,9,Wien,150,37,28912
20200411,10,Alle,790,245,140975
20200412,1,Burgenland,14,3,1799
20200412,2,Kärnten,17,10,6156
20200412,3,Niederösterreich,189,42,15267
20200412,4,Oberösterreich,86,29,25257
20200412,5,Salzburg,68,21,12215
