reg;jour;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
01;2020-05-13;0;0;0;0;0;0;09;40134
01;2020-05-13;0;0;0;1;0;1;19;50483
01;2020-05-13;0;0;0;1;0;1;29;34558
01;2020-05-13;0;0;0;5;1;6;39;37149
01;2020-05-13;0;0;0;2;1;3;49;48928
01;2020-05-13;0;0;0;5;2;7;59;60524
01;2020-05-13;0;0;0;1;1;2;69;51113
01;2020-05-13;0;0;0;1;4;5;79;33062
01;2020-05-13;0;0;0;1;0;1;89;16008
01;2020-05-13;0;0;0;0;0;0;90;4920
01;2020-05-13;0;0;0;17;9;26;0;376879
02;2020-05-13;0;0;0;3;1;4;09;33991
02;2020-05-13;0;0;0;3;4;7;19;43014
02;2020-05-13;0;0;0;7;4;12;29;31496
02;2020-05-13;0;0;0;5;4;9;39;34280
02;2020-05-13;1;0;1;10;2;12;49;42967
02;2020-05-13;0;2;2;11;11;22;59;62671
02;2020-05-13;1;0;1;4;3;7;69;52556
02;2020-05-13;0;0;0;3;3;6;79;33509
02;2020-05-13;0;0;0;2;2;4;89;18767
02;2020-05-13;0;0;0;1;0;1;90;5498
02;2020-05-13;2;2;4;49;35;85;0;358749
03;2020-05-13;0;0;0;0;0;0;09;62043
03;2020-05-13;0;0;0;0;0;0;19;58638
03;2020-05-13;0;0;0;0;0;0;29;40421
03;2020-05-13;0;0;0;0;1;1;39;39602
03;2020-05-13;0;0;0;0;0;0;49;34757
03;2020-05-13;0;0;0;1;0;1;59;27026
03;2020-05-13;0;0;0;0;0;0;69;17446
03;2020-05-13;0;0;0;0;0;0;79;7368
03;2020-05-13;0;0;0;0;0;0;89;2721
03;2020-05-13;0;0;0;0;0;0;90;669
03;2020-05-13;0;0;0;1;1;2;0;290691
04;2020-05-13;0;0;0;3;4;7;09;121691
04;2020-05-13;0;0;0;11;11;22;19;134452
04;2020-05-13;1;0;1;31;21;52;29;98215
04;2020-05-13;0;0;0;27;29;56;39;104568
04;2020-05-13;0;0;0;28;23;51;49;113615
04;2020-05-13;0;0;0;21;37;58;59;125597
04;2020-05-13;0;0;0;30;20;50;69;89851
04;2020-05-13;0;0;0;18;25;43;79;46693
04;2020-05-13;0;0;0;8;4;12;89;20815
04;2020-05-13;0;0;0;1;2;3;90;4462
04;2020-05-13;1;0;1;178;176;354;0;859959
05;2020-05-13;0;0;0;0;0;0;09;703.704828175651
05;2020-05-13;0;0;0;0;0;0;19;723.725880519921
05;2020-05-13;0;0;0;0;0;0;29;475.133162078732
05;2020-05-13;0;0;0;0;0;0;39;764.547319147651
05;2020-05-13;0;0;0;0;0;0;49;1017.17633756848
05;2020-05-13;0;0;0;0;0;0;59;978.233665832332
05;2020-05-13;0;0;0;0;0;0;69;674.735312241807
05;2020-05-13;0;0;0;0;0;0;79;405.196420115493
05;2020-05-13;0;0;0;0;0;0;89;210.595968638888
05;2020-05-13;0;0;0;0;0;0;90;43.9511056810479
05;2020-05-13;0;0;0;0;0;0;0;5997
06;2020-05-13;0;0;0;0;0;0;09;84963
06;2020-05-13;1;0;1;1;0;1;19;65294
06;2020-05-13;1;1;2;3;1;4;29;36651
06;2020-05-13;0;1;1;3;2;5;39;37697
06;2020-05-13;0;1;1;1;3;4;49;28132
06;2020-05-13;0;3;3;3;5;8;59;14768
06;2020-05-13;0;1;1;0;1;1;69;7746
06;2020-05-13;0;0;0;1;0;1;79;3034
06;2020-05-13;0;0;0;0;0;0;89;1005
06;2020-05-13;0;0;0;0;0;0;90;181
06;2020-05-13;2;7;9;12;12;24;0;279471
07;2020-05-13;0;0;0;0;0;0;09;1034
07;2020-05-13;0;0;0;0;0;0;19;835
07;2020-05-13;0;0;0;0;0;0;29;1605
07;2020-05-13;0;0;0;0;0;0;39;1752
07;2020-05-13;0;0;0;0;0;0;49;1808
07;2020-05-13;0;0;0;0;0;0;59;1548
07;2020-05-13;0;0;0;0;0;0;69;742
07;2020-05-13;0;0;0;0;0;0;79;421
