dateID,documentOrd,srcLink
20210312,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3115749:1615553213/Report%20informatizzato_20210312_ore8.pdf
20210311,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3114217:1615465240/Report%20informatizzato_20210311_ore8.pdf
20210310,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3113350:1615396400/Report%20informatizzato_20210310_ore17.pdf
20210310,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3112958:1615379789/Report%20informatizzato_20210310_ore8.pdf
20210309,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3112167:1615311642/405-2021%20Report%20informatizzato_20210309_ore17.pdf
20210309,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3111665:1615292015/Report%20informatizzato_20210309_ore8.pdf
20210308,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3110549:1615205554/Report%20informatizzato_20210308_ore8.pdf
20210307,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3109879:1615138086/Report%20informatizzato_20210307_ore17.pdf
20210307,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3109526:1615108918/Report%20informatizzato_20210307_ore8.pdf
20210306,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3108987:1615049140/Report%20informatizzato_20210306_ore17.pdf
20210306,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3108658:1615034501/Report%20informatizzato_20210306_ore8.pdf
20210305,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3107931:1614966773/376-2021%20Report%20informatizzato_20210305_ore17.pdf
20210305,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3107315:1614948825/372-2021%20Report%20informatizzato_20210305_ore8.pdf
20210304,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3106376:1614875689/Report%20informatizzato_20210304_ore17.pdf
20210304,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3105789:1614858358/Report%20informatizzato_20210304_ore8.pdf
20210303,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3104919:1614790330/Report%20informatizzato_20210303_ore17.pdf
20210303,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3104382:1614775861/Report%20informatizzato_20210303_ore8.pdf
20210302,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3103400:1614704238/Report%20informatizzato_20210302_ore17.pdf
20210302,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3102872:1614687979/Report%20informatizzato_20210302_ore8%202.pdf
20210301,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3101502:1614598893/Report%20informatizzato_20210301_ore8.pdf
20210228,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3100869:1614531836/Report%20informatizzato_20210228_ore17.pdf
20210228,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3100577:1614504822/Report%20informatizzato_20210228_ore8.pdf
20210227,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3099988:1614444793/Report%20informatizzato_20210227_ore17.pdf
20210227,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3099470:1614416962/Report%20informatizzato_20210227_ore8.pdf
20210226,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3098252:1614342934/Report%20informatizzato_20210226_ore8%202.pdf
20210225,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3097607:1614275531/Report%20informatizzato_20210225_ore17.pdf
20210225,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3097095:1614258146/Report%20informatizzato_20210225_ore8.pdf
20210224,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3096155:1614184024/Report%20informatizzato_20210224_ore17.pdf
20210224,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3095777:1614171430/Report%20informatizzato_20210224_ore8_v2.pdf
20210223,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3094969:1614099680/Report%20informatizzato_20210223_ore17.pdf
20210223,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3094383:1614082703/Report%20informatizzato_20210223_ore8.pdf
20210222,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3093811:1614023006/Report%20informatizzato_20210222_ore17.pdf
20210222,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3092980:1613995820/Report%20informatizzato_20210222_ore8.pdf
20210221,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3092319:1613927876/21%20ore17.pdf
20210221,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3092088:1613911808/Report%20informatizzato_20210221_ore8.pdf
20210220,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3091370:1613838634/Report%2077.pdf
20210220,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3090902:1613821293/Report%20informatizzato_20210220_ore8.pdf
20210219,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3090146:1613756965/Report%20informatizzato_20210219_ore17.pdf
20210219,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3089551:1613736122/Report%20informatizzato_20210219_ore8.pdf
20210218,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3088576:1613664189/Report%2076.pdf
