dateID,sigla_provincia,totale_casi
20220417,TO,584266
20220417,VC,39039
20220417,NO,82972
20220417,CN,142144
20220417,AT,51595
20220417,AL,97124
20220417,BI,41858
20220417,VB,40381
20220417,AO,31234
20220417,VA,246253
20220417,CO,164692
20220417,SO,44554
20220417,MI,872010
20220417,BG,204814
20220417,BS,334205
20220417,PV,140806
20220417,CR,87686
20220417,MN,112132
20220417,LC,78666
20220417,LO,57491
20220417,MB,242759
20220417,BZ,192528
20220417,TN,156310
20220417,VR,294373
20220417,VI,280561
20220417,BL,60620
20220417,TV,290255
20220417,VE,264601
20220417,PD,307883
20220417,RO,66355
20220417,UD,146213
20220417,GO,39373
20220417,TS,76639
20220417,PN,84263
20220417,IM,55971
20220417,SV,66212
20220417,GE,213181
20220417,SP,56548
20220417,PC,70291
20220417,PR,108509
20220417,RE,154124
20220417,MO,204182
20220417,BO,312513
20220417,FE,93176
20220417,RA,125659
20220417,FC,136577
20220417,RN,126942
20220417,MS,51304
20220417,LU,110803
20220417,PT,84822
20220417,FI,294740
20220417,LI,92467
20220417,PI,120246
20220417,AR,96769
20220417,SI,72954
20220417,GR,55456
20220417,PO,73292
20220417,PG,185494
20220417,TR,58005
20220417,PU,83648
20220417,AN,129162
20220417,MC,83401
20220417,AP,58158
20220417,FM,49978
20220417,VT,66869
20220417,RI,42032
20220417,RM,1036352
20220417,LT,143438
20220417,FR,112626
20220417,AQ,74033
20220417,TE,86995
20220417,PE,79944
20220417,CH,96954
20220417,CB,40229
20220417,IS,14767
20220417,CE,234514
20220417,BN,57522
20220417,NA,841738
20220417,AV,90143
20220417,SA,262521
20220417,FG,149541
20220417,BA,328299
20220417,TA,132723
20220417,BR,92987
20220417,LE,200175
20220417,BT,91794
20220417,PZ,75477
20220417,MT,40762
20220417,CS,82930
20220417,CZ,47086
20220417,RC,129863
20220417,KR,33918
20220417,VV,36729
20220417,TP,80723
20220417,PA,253457
20220417,ME,150003
20220417,AG,82269
20220417,CL,63939
20220417,EN,30788
20220417,CT,220746
20220417,RG,77255
20220417,SR,95896
20220417,SS,72597
20220417,NU,37039
20220417,CA,71628
20220417,OR,29677
20220417,SU,47094
20220416,TO,583184
20220416,VC,38975
20220416,NO,82862
20220416,CN,141914
20220416,AT,51444
20220416,AL,96899
20220416,BI,41785
20220416,VB,40293
20220416,AO,31149
20220416,VA,245668
20220416,CO,164285
20220416,SO,44446
20220416,MI,870045
20220416,BG,204359
20220416,BS,333421
20220416,PV,140446
20220416,CR,87490
20220416,MN,111850
20220416,LC,78416
20220416,LO,57410
20220416,MB,242215
20220416,BZ,192242
20220416,TN,155998
20220416,VR,293517
20220416,VI,279712
20220416,BL,60451
20220416,TV,289395
20220416,VE,263862
20220416,PD,306907
20220416,RO,66152
20220416,UD,145896
20220416,GO,39296
20220416,TS,76497
20220416,PN,84099
20220416,IM,55843
20220416,SV,66041
20220416,GE,212554
20220416,SP,56326
20220416,PC,70097
20220416,PR,108066
20220416,RE,153573
20220416,MO,203525
20220416,BO,311491
20220416,FE,92871
20220416,RA,125157
20220416,FC,136114
20220416,RN,126600
20220416,MS,51104
20220416,LU,110489
20220416,PT,84535
20220416,FI,293927
20220416,LI,92094
20220416,PI,119834
20220416,AR,96501
20220416,SI,72651
20220416,GR,55247
20220416,PO,73108
20220416,PG,184786
20220416,TR,57785
20220416,PU,83343
20220416,AN,128689
20220416,MC,83117
20220416,AP,57821
20220416,FM,49786
20220416,VT,66612
20220416,RI,41863
20220416,RM,1031728
20220416,LT,142757
20220416,FR,112159
20220416,AQ,73746
20220416,TE,86550
20220416,PE,79480
20220416,CH,96324
20220416,CB,39956
20220416,IS,14617
20220416,CE,233357
20220416,BN,57196
20220416,NA,838831
20220416,AV,89607
20220416,SA,261112
20220416,FG,149107
20220416,BA,326887
20220416,TA,132198
20220416,BR,92558
20220416,LE,199448
20220416,BT,91590
20220416,PZ,75137
20220416,MT,40586
20220416,CS,82439
20220416,CZ,46670
20220416,RC,129415
20220416,KR,33915
20220416,VV,36601
20220416,TP,80435
20220416,PA,252405
20220416,ME,149203
20220416,AG,81976
20220416,CL,63795
20220416,EN,30715
20220416,CT,219958
20220416,RG,77029
20220416,SR,95512
20220416,SS,72209
20220416,NU,37039
20220416,CA,71183
20220416,OR,29577
20220416,SU,46867
20220415,TO,581343
20220415,VC,38867
20220415,NO,82628
20220415,CN,141566
20220415,AT,51181
20220415,AL,96518
20220415,BI,41651
20220415,VB,40175
20220415,AO,31051
20220415,VA,244847
20220415,CO,163757
20220415,SO,44296
20220415,MI,867105
20220415,BG,203789
20220415,BS,332388
20220415,PV,140016
20220415,CR,87225
20220415,MN,111449
20220415,LC,78124
20220415,LO,57262
20220415,MB,241404
20220415,BZ,191809
20220415,TN,155583
20220415,VR,292437
20220415,VI,278573
20220415,BL,60219
20220415,TV,288319
20220415,VE,262735
20220415,PD,305582
20220415,RO,65890
20220415,UD,145375
20220415,GO,39173
20220415,TS,76242
20220415,PN,83847
20220415,IM,55676
20220415,SV,65858
20220415,GE,211710
20220415,SP,56092
20220415,PC,69894
20220415,PR,107668
20220415,RE,152874
20220415,MO,202797
20220415,BO,310447
20220415,FE,92577
20220415,RA,124688
20220415,FC,135710
20220415,RN,126279
20220415,MS,50861
20220415,LU,110107
20220415,PT,84274
20220415,FI,292900
20220415,LI,91698
20220415,PI,119310
20220415,AR,96112
20220415,SI,72326
20220415,GR,55008
20220415,PO,72911
20220415,PG,183903
20220415,TR,57553
20220415,PU,83027
20220415,AN,128219
20220415,MC,82803
20220415,AP,57435
20220415,FM,49566
20220415,VT,66343
20220415,RI,41673
20220415,RM,1026525
20220415,LT,141982
20220415,FR,111702
20220415,AQ,73433
20220415,TE,86087
20220415,PE,79032
20220415,CH,95696
20220415,CB,39698
20220415,IS,14498
20220415,CE,232160
20220415,BN,56806
20220415,NA,835668
20220415,AV,88978
20220415,SA,259597
20220415,FG,148434
20220415,BA,324933
20220415,TA,131446
20220415,BR,92084
20220415,LE,198492
20220415,BT,91199
20220415,PZ,74655
20220415,MT,40381
20220415,CS,81863
20220415,CZ,46243
20220415,RC,128867
20220415,KR,33703
20220415,VV,36505
20220415,TP,80057
20220415,PA,251262
20220415,ME,148029
20220415,AG,81606
20220415,CL,63627
20220415,EN,30505
20220415,CT,218966
20220415,RG,76770
20220415,SR,95084
20220415,SS,71722
20220415,NU,36819
20220415,CA,70724
20220415,OR,29509
20220415,SU,46458
20220414,TO,579642
20220414,VC,38749
20220414,NO,82406
20220414,CN,141192
20220414,AT,50987
20220414,AL,96083
20220414,BI,41518
20220414,VB,40055
20220414,AO,30982
20220414,VA,244148
20220414,CO,163192
20220414,SO,44164
20220414,MI,864470
20220414,BG,203283
20220414,BS,331370
20220414,PV,139577
20220414,CR,86965
20220414,MN,111080
20220414,LC,77803
20220414,LO,57130
20220414,MB,240622
20220414,BZ,191373
20220414,TN,155162
20220414,VR,291408
20220414,VI,277358
20220414,BL,59982
20220414,TV,287208
20220414,VE,261619
20220414,PD,304348
20220414,RO,65606
20220414,UD,144913
20220414,GO,39032
20220414,TS,76050
20220414,PN,83604
20220414,IM,55488
20220414,SV,65644
20220414,GE,210884
20220414,SP,55869
20220414,PC,69711
20220414,PR,107201
20220414,RE,152214
20220414,MO,202062
20220414,BO,309603
20220414,FE,92265
20220414,RA,124196
20220414,FC,135307
20220414,RN,125923
20220414,MS,50657
20220414,LU,109690
20220414,PT,83952
20220414,FI,291785
20220414,LI,91252
20220414,PI,118853
20220414,AR,95768
20220414,SI,71996
20220414,GR,54756
20220414,PO,72715
20220414,PG,183099
20220414,TR,57304
20220414,PU,82692
20220414,AN,127633
20220414,MC,82469
20220414,AP,57073
20220414,FM,49345
20220414,VT,66072
20220414,RI,41489
20220414,RM,1021274
20220414,LT,141238
20220414,FR,111205
20220414,AQ,73140
20220414,TE,85591
20220414,PE,78558
20220414,CH,95046
20220414,CB,39447
20220414,IS,14395
20220414,CE,230948
20220414,BN,56439
20220414,NA,832605
20220414,AV,88374
20220414,SA,258226
20220414,FG,147850
20220414,BA,323349
20220414,TA,130812
20220414,BR,91643
20220414,LE,197684
20220414,BT,90865
20220414,PZ,74230
20220414,MT,40197
20220414,CS,81304
20220414,CZ,45717
20220414,RC,128367
20220414,KR,33551
20220414,VV,36391
20220414,TP,79685
20220414,PA,250181
20220414,ME,147212
20220414,AG,81253
20220414,CL,63456
20220414,EN,30427
20220414,CT,218128
20220414,RG,76505
20220414,SR,94613
20220414,SS,71325
20220414,NU,36502
20220414,CA,70198
20220414,OR,29326
20220414,SU,46078
20220413,TO,577639
20220413,VC,38606
20220413,NO,82150
20220413,CN,140777
20220413,AT,50759
20220413,AL,95667
20220413,BI,41368
20220413,VB,39927
20220413,AO,30888
20220413,VA,243214
20220413,CO,162741
20220413,SO,44012
20220413,MI,861617
20220413,BG,202632
20220413,BS,330302
20220413,PV,139106
20220413,CR,86694
20220413,MN,110567
20220413,LC,77482
20220413,LO,56996
20220413,MB,239916
20220413,BZ,190892
20220413,TN,154699
20220413,VR,290335
20220413,VI,276106
20220413,BL,59718
20220413,TV,285944
20220413,VE,260435
20220413,PD,302892
20220413,RO,65320
20220413,UD,144410
20220413,GO,38901
20220413,TS,75774
20220413,PN,83307
20220413,IM,55314
20220413,SV,65427
20220413,GE,210018
20220413,SP,55598
20220413,PC,69503
20220413,PR,106779
20220413,RE,151542
20220413,MO,201258
20220413,BO,308379
20220413,FE,91924
20220413,RA,123774
20220413,FC,134851
20220413,RN,125540
20220413,MS,50424
20220413,LU,109316
20220413,PT,83670
20220413,FI,290705
20220413,LI,90804
20220413,PI,118311
20220413,AR,95402
20220413,SI,71686
20220413,GR,54487
20220413,PO,72497
20220413,PG,182205
20220413,TR,57088
20220413,PU,82364
20220413,AN,127070
20220413,MC,82141
20220413,AP,56696
20220413,FM,49135
20220413,VT,65695
20220413,RI,41300
20220413,RM,1016070
20220413,LT,140526
20220413,FR,110487
20220413,AQ,72841
20220413,TE,85142
20220413,PE,78066
20220413,CH,94350
20220413,CB,39177
20220413,IS,14278
20220413,CE,229830
20220413,BN,56130
20220413,NA,829512
20220413,AV,87788
20220413,SA,256759
20220413,FG,147170
20220413,BA,321439
20220413,TA,130131
20220413,BR,91086
20220413,LE,196698
20220413,BT,90525
20220413,PZ,73760
20220413,MT,40027
20220413,CS,80705
20220413,CZ,45204
20220413,RC,128023
20220413,KR,33362
20220413,VV,36206
20220413,TP,79298
20220413,PA,248754
20220413,ME,146694
20220413,AG,80925
20220413,CL,63263
20220413,EN,30336
20220413,CT,217250
20220413,RG,76253
20220413,SR,94270
20220413,SS,70913
20220413,NU,36305
20220413,CA,69694
20220413,OR,29126
20220413,SU,45680
20220412,TO,575712
20220412,VC,38476
20220412,NO,81925
20220412,CN,140402
20220412,AT,50534
20220412,AL,95239
20220412,BI,41258
20220412,VB,39778
20220412,AO,30795
20220412,VA,242383
20220412,CO,162209
20220412,SO,43905
20220412,MI,858773
20220412,BG,202001
20220412,BS,329246
20220412,PV,138665
20220412,CR,86408
20220412,MN,110157
20220412,LC,77129
20220412,LO,56849
20220412,MB,239112
20220412,BZ,190478
20220412,TN,154270
20220412,VR,289276
20220412,VI,274834
20220412,BL,59463
