dateID,venetoHospCasesOfficial,venetoHospCasesActual,venetoHospCasesNegativized,italyHospCasesOfficial,italyHospCasesActual,venetoIcuCasesOfficial,venetoIcuCasesActual,venetoIcuCasesNegativized,italyIcuCasesOfficial,italyIcuCasesActual,srcLink
20220402,557,806,249,9949,10198,36,61,25,493,518,https://www.larena.it/filedelivery/policy:7.3410334:1648889582/790-2022%20Report%20(34).pdf
20220401,576,840,264,9981,10245,36,59,23,476,499,https://www.ilgazzettino.it/uploads/ckfile/202204/Report_01102458.pdf
20220331,559,825,266,9898,10164,35,61,26,468,494,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3408791:1648717862/Report.pdf
20220330,547,811,264,9871,10135,35,62,27,481,508,https://www.larena.it/filedelivery/policy:7.3407975:1648630806/report%2030%20marzo.pdf
20220329,528,793,265,9740,10005,27,56,29,487,516,https://www.larena.it/filedelivery/policy:7.3407246:1648549660/Report%20del%2029%20marzo%202022.pdf
20220328,477,746,269,9496,9765,25,57,32,487,519,https://www.larena.it/filedelivery/policy:7.3406497:1648455004/Report%20del%2028%20marzo%202022.pdf
20220327,458,735,277,9181,9458,24,56,32,464,496,https://www.larena.it/filedelivery/policy:7.3405687:1648372526/Report%20del%2027%20marzo.pdf
20220326,471,748,277,9023,9300,23,56,33,452,485,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3405014:1648290908/Report.pdf
20220325,464,734,270,8994,9264,25,51,26,447,473,https://www.larena.it/filedelivery/policy:7.3404124:1648200274/report%2025%20marzo.pdf
20220324,478,746,268,9029,9297,24,50,26,447,473,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3403288:1648118376/Report%20(15).pdf
20220323,468,736,268,8939,9207,27,54,27,466,493,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3402574:1648034632/Report.pdf
20220322,467,743,276,8969,9245,25,53,28,455,483,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3401832:1647947565/705-2022%20Report%20(9).pdf
20220321,429,716,287,8728,9015,28,57,29,463,492,https://www.larena.it/filedelivery/policy:7.3400945:1647858489/casiventunomarzo.pdf
20220320,410,728,318,8430,8748,27,59,32,467,499,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3400321:1647770716/Report%20(14).pdf
20220319,414,731,317,8319,8636,28,60,32,471,503,https://www.larena.it/filedelivery/policy:7.3399764:1647682267/report%2019%20marzo.pdf
20220318,432,764,332,8403,8735,26,55,29,474,503,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3398988:1647606482/Report.pdf
20220317,443,765,322,8397,8719,24,56,32,473,505,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3398147:1647508225/Report%20(8).pdf
20220316,443,774,331,8410,8741,23,58,35,477,512,https://www.larena.it/filedelivery/policy:7.3397333:1647422633/Report%20-%202022-03-16T093046.444.pdf
20220315,433,753,320,8473,8793,27,61,34,502,536,https://www.larena.it/filedelivery/policy:7.3396500:1647346809/dati%2015%20marzo.pdf
20220314,435,769,334,8468,8802,29,61,32,518,550,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3395693:1647255566/635-2022%20Report%20(7).pdf
20220313,430,772,342,8240,8582,28,61,33,516,549,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3395037:1647163383/Report%20(9).pdf
20220312,433,779,346,8234,8580,28,61,33,513,546,https://www.larena.it/filedelivery/policy:7.3394412:1647079957/621-2022%20Report%20(30).pdf
20220311,436,804,368,8274,8642,34,67,33,527,560,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3393661:1646995605/Report.pdf
20220310,446,833,387,8414,8801,38,71,33,545,578,https://www.larena.it/filedelivery/policy:7.3392858:1646913962/casi%2010%20marzo.pdf
20220309,468,884,416,8575,8991,34,67,33,563,596,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3392026:1646821683/Report.pdf
20220308,494,913,419,8776,9195,37,73,36,592,628,https://www.larena.it/filedelivery/policy:7.3391210:1646732929/Report%20-%202022-03-08T101727.161.pdf
20220307,489,907,418,8989,9407,37,82,45,610,655,https://www.larena.it/filedelivery/policy:7.3390473:1646655187/Report%20-%202022-03-07T084754.400.pdf
20220306,474,895,421,8828,9249,38,85,47,603,650,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3389781:1646566731/Report.pdf
20220305,477,898,421,8974,9395,36,83,47,609,656,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3389196:1646472276/Report%20(8).pdf
20220304,495,926,431,9297,9728,40,87,47,625,672,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3388446:1646395765/Report%20(7).pdf
20220303,506,955,449,9599,10048,40,90,50,654,704,https://www.larena.it/filedelivery/policy:7.3387605:1646307865/528-2022%20Report%20(28).pdf
20220302,535,995,460,9954,10414,45,93,48,681,729,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3386868:1646220793/Report.pdf
20220301,564,1026,462,10456,10918,50,99,49,708,757,https://www.larena.it/filedelivery/policy:7.3386037:1646128980/Report%20-%202022-03-01T094756.799.pdf
20220228,612,1048,436,10851,11287,46,93,47,714,761,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3385332:1646049816/Report%20(7).pdf
20220227,625,1048,423,10868,11291,49,93,44,733,777,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3384611:1645961954/Report.pdf
20220226,644,1058,414,11103,11517,48,96,48,763,811,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3383928:1645867498/Report%20(6).pdf
20220225,689,1107,418,11706,12124,50,97,47,799,846,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3383167:1645781952/Report%20-%202022-02-25T085316.654.pdf
20220224,722,1154,432,12125,12557,53,98,45,839,884,https://www.larena.it/filedelivery/policy:7.3382380:1645702078/report%2024%20febbraio.pdf
20220223,740,1189,449,12527,12976,54,101,47,886,933,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3381471:1645610325/Report%20(5).pdf
20220222,771,1202,431,13076,13507,55,103,48,896,944,https://www.ilgazzettino.it/uploads/ckfile/202202/Report_22101039.pdf
20220221,788,1192,404,13375,13779,55,104,49,928,977,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3379973:1645444448/424-2022%20Report%20(30).pdf
20220220,789,1190,401,13284,13685,52,103,51,934,985,https://www.larena.it/filedelivery/policy:7.3379329:1645350400/Report%20-%202022-02-20T091233.035.pdf
20220219,799,1195,396,13387,13783,52,103,51,953,1004,https://www.larena.it/filedelivery/policy:7.3378667:1645265087/Report.pdf
20220218,853,1243,390,13948,14338,56,111,55,987,1042,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3377791:1645176599/Report%2018022022.pdf
20220217,879,1311,432,14562,14994,60,118,58,1037,1095,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3377031:1645091885/390-2022%20Report%20(26).pdf
20220216,938,1371,433,15127,15560,62,123,61,1073,1134,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3376222:1645013375/Report%20(1).pdf
20220215,924,1384,460,15602,16062,65,128,63,1119,1182,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3375449:1644920139/Report%20(3).pdf
20220214,977,1414,437,16050,16487,77,131,54,1173,1227,https://www.ilgazzettino.it/uploads/ckfile/202202/report-14-2_14103655.pdf
20220213,992,1426,434,16060,16494,76,131,55,1190,1245,https://www.ilgazzettino.it/uploads/ckfile/202202/Report%20(1)_13105622.pdf
20220212,1010,1458,448,16310,16758,81,135,54,1223,1277,https://www.larena.it/filedelivery/policy:7.3373577:1644659200/Report.pdf
20220211,1079,1542,463,16824,17287,94,145,51,1265,1316,https://www.ilgazzettino.it/uploads/ckfile/202202/bollettino-covid-veneto-11-febbraio_11101956.pdf
20220210,1253,1635,382,17354,17736,114,148,34,1322,1356,https://www.larena.it/filedelivery/policy:7.3371938:1644487317/Report%20-%202022-02-10T093944.510.pdf
20220209,1298,1696,398,17932,18330,120,157,37,1350,1387,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3371281:1644400056/Report%20(10).pdf
20220208,1360,1745,385,18337,18722,132,156,24,1376,1400,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3370614:1644321197/311-2022%20Report%20.pdf
20220207,1354,1711,357,18675,19032,135,160,25,1423,1448,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3369816:1644234248/Report.pdf
20220206,1352,1710,358,18498,18856,137,162,25,1431,1456,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3369247:1644140036/298-2022%20Report%20(21).pdf
20220205,1353,1703,350,18615,18965,134,156,22,1411,1433,https://www.larena.it/filedelivery/policy:7.3368487:1644057691/reportcinquefeb.pdf
20220204,1430,1760,330,19000,19330,133,158,25,1440,1465,https://www.larena.it/filedelivery/policy:7.3367639:1643968267/Report%20-%202022-02-04T100932.481.pdf
20220203,1488,1808,320,19324,19644,140,162,22,1457,1479,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3367014:1643880637/Report%20(3).pdf
20220202,1493,1804,311,19550,19861,149,168,19,1524,1543,https://www.larena.it/filedelivery/policy:7.3366364:1643804274/258-2022%20Report.pdf?mobile_stay=1
20220201,1522,1839,317,19873,20190,150,170,20,1549,1569,https://www.larena.it/filedelivery/policy:7.3365495:1643710425/Report%20-%202022-02-01T102713.803.pdf
20220131,1503,1798,295,19913,20208,157,180,23,1584,1607,https://www.larena.it/filedelivery/policy:7.3364754:1643624414/Report%20(1).pdf
20220130,1480,1759,279,19617,19896,160,185,25,1593,1618,https://www.larena.it/filedelivery/policy:7.3364232:1643536801/Report%20-%202022-01-30T094824.698.pdf
20220129,1497,1779,282,19636,19918,156,182,26,1588,1614,https://www.larena.it/filedelivery/policy:7.3363763:1643451359/dati29gen.pdf
20220128,1537,1810,273,19796,20069,168,194,26,1630,1656,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3363031:1643367279/Report%20(3).pdf
20220127,1582,1847,265,19853,20118,160,185,25,1645,1670,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3362333:1643279784/Report.pdf
20220126,1584,1854,270,20001,20271,165,189,24,1665,1689,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3361645:1643198051/Report_episodi_20220126.pdf
20220125,1560,1830,270,20037,20307,172,194,22,1691,1713,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3360839:1643111782/Report_episodi_20220125_v3.pdf
20220124,1440,1705,265,19862,20127,165,187,22,1685,1707,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3360045:1643020170/159-2022%20Report%20informatizzato_20220124.pdf
20220123,1470,1727,257,19627,19884,159,183,24,1685,1709,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3359492:1642937873/Report%20-%202022-01-23.pdf
20220122,1497,1744,247,19442,19689,166,189,23,1676,1699,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3358845:1642855226/Report%20-%202022-01-22.pdf
20220121,1516,1765,249,19485,19734,181,203,22,1707,1729,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3358111:1642760888/Report%20(1).pdf
20220120,1547,1806,259,19659,19918,180,204,24,1698,1722,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3357440:1642680428/Report%20(1).pdf
20220119,1566,1802,236,19500,19736,177,203,26,1688,1714,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3356703:1642583518/Report%20informatizzato_20220119.pdf
20220118,1569,1797,228,19448,19676,184,208,24,1715,1739,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3355929:1642502407/Report%20informatizzato_20220118.pdf
20220117,1545,1766,221,19228,19449,183,205,22,1717,1739,https://www.larena.it/filedelivery/policy:7.3355283:1642421536/report%2017%20gennaio%2022.pdf
20220116,1515,1735,220,18719,18939,175,198,23,1691,1714,https://www.larena.it/filedelivery/policy:7.3354615:1642330717/casisedicigen.pdf
20220115,1549,1757,208,18370,18578,181,205,24,1677,1701,https://www.larena.it/filedelivery/policy:7.3354074:1642253420/20220115_ReportRidotto.pdf
20220114,1516,1727,211,18019,18230,188,208,20,1679,1699,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3353415:1642157858/Report.pdf
20220113,1410,1602,192,17648,17840,191,206,15,1668,1683,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3352745:1642077446/Report%20(7).pdf
20220112,1387,1566,179,17309,17488,197,210,13,1669,1682,https://www.larena.it/filedelivery/policy:7.3352034:1641981968/Report_20220112.pdf
20220111,1504,1680,176,17067,17243,202,215,13,1677,1690,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3351320:1641895644/Report%20(1).pdf
20220110,1437,1592,155,16340,16495,201,215,14,1606,1620,https://www.larena.it/filedelivery/policy:7.3350707:1641806807/Report%20(9).pdf
20220109,1407,1561,154,15647,15801,206,219,13,1595,1608,https://www.larena.it/filedelivery/policy:7.3350099:1641722244/Report%20(7).pdf
20220108,1362,1518,156,14930,15086,195,209,14,1557,1571,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3349498:1641636918/Report_20220108.pdf
20220107,1321,1475,154,14591,14745,188,205,17,1499,1516,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3348815:1641558798/Report.pdf
20220106,1167,1325,158,13827,13985,187,202,15,1467,1482,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3348170:1641463843/Report_20220106.pdf
20220105,1233,1395,162,13364,13526,196,211,15,1428,1443,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3347454:1641378505/18-2022%20Report.pdf
20220104,1211,1366,155,12912,13067,194,209,15,1392,1407,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3346850:1641299618/Report.pdf
20220103,1170,1316,146,12333,12479,186,200,14,1351,1365,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3346193:1641212277/Report%20(21).pdf
