areaID,areaCodeParent
ajdovscina,386023
ankaran,386024
apace,386011
beltinci,386011
benedikt,386012
bistrica_ob_sotli,386016
bled,386022
bloke,386018
bohinj,386022
borovnica,386021
bovec,386023
braslovce,386014
brda,386023
brezice,386016
brezovica,386021
cankova,386011
celje,386014
cerklje_na_gorenjskem,386022
cerknica,386018
cerkno,386023
cerkvenjak,386012
cirkulane,386012
crensovci,386011
crna_na_koroskem,386013
crnomelj,386017
destrnik,386012
divaca,386024
dobje,386014
dobrepolje,386021
dobrna,386014
dobrova_polhov_gradec,386021
dobrovnik,386011
dol_pri_ljubljani,386021
dolenjske_toplice,386017
domzale,386021
dornava,386012
dravograd,386013
duplek,386012
gorenja_vas_poljane,386022
gorisnica,386012
gorje,386022
gornja_radgona,386011
gornji_grad,386014
gornji_petrovci,386011
grad,386011
grosuplje,386021
hajdina,386012
hoce_slivnica,386012
hodos,386011
horjul,386021
hrastnik,386015
hrpelje_kozina,386024
idrija,386023
ig,386021
ilirska_bistrica,386018
ivancna_gorica,386021
izola,386024
jesenice,386022
jezersko,386022
jursinci,386012
kamnik,386021
kanal,386023
kidricevo,386012
kobarid,386023
kobilje,386011
kocevje,386017
komen,386024
komenda,386021
koper,386024
kostanjevica_na_krki,386016
kostel,386017
kozje,386014
kranj,386022
kranjska_gora,386022
krizevci,386011
krsko,386016
kungota,386012
kuzma,386011
lasko,386014
lenart,386012
lendava,386011
litija,386015
ljubljana,386021
ljubno,386014
ljutomer,386011
log_dragomer,386021
logatec,386021
loska_dolina,386018
loski_potok,386017
lovrenc_na_pohorju,386012
luce,386014
lukovica,386021
majsperk,386012
makole,386012
maribor,386012
markovci,386012
medvode,386021
menges,386021
metlika,386017
mezica,386013
miklavz_na_dravskem_polju,386012
miren_kostanjevica,386023
mirna,386017
mirna_pec,386017
mislinja,386013
mokronog_trebelno,386017
moravce,386021
moravske_toplice,386011
mozirje,386014
murska_sobota,386011
muta,386013
naklo,386022
nazarje,386014
nova_gorica,386023
novo_mesto,386017
odranci,386011
oplotnica,386012
ormoz,386012
osilnica,386017
pesnica,386012
piran,386024
pivka,386018
podcetrtek,386014
podlehnik,386012
podvelka,386013
poljcane,386012
polzela,386014
postojna,386018
prebold,386014
preddvor,386022
prevalje,386013
ptuj,386012
puconci,386011
race_fram,386012
radece,386016
radenci,386011
radlje_ob_dravi,386013
radovljica,386022
ravne_na_koroskem,386013
razkrizje,386011
recica_ob_savinji,386014
rence_vogrsko,386023
ribnica,386017
ribnica_na_pohorju,386013
rogaska_slatina,386014
rogasovci,386011
rogatec,386014
ruse,386012
salovci,386011
selnica_ob_dravi,386012
semic,386017
sempeter_vrtojba,386023
sencur,386022
sentilj,386012
sentjernej,386017
sentjur,386014
sentrupert,386017
sevnica,386016
sezana,386024
skocjan,386017
skofja_loka,386022
skofljica,386021
slovenj_gradec,386013
slovenska_bistrica,386012
slovenske_konjice,386014
smarje_pri_jelsah,386014
smarjeske_toplice,386017
smartno_ob_paki,386014
smartno_pri_litiji,386021
sodrazica,386017
solcava,386014
sostanj,386014
sredisce_ob_dravi,386012
starse,386012
store,386014
straza,386017
sveta_ana,386012
sveta_trojica_v_slovenskih_goricah,386012
sveti_andraz_v_slovenskih_goricah,386012
sveti_jurij_ob_scavnici,386011
sveti_jurij_v_slovenskih_goricah,386012
sveti_tomaz,386012
tabor,386014
tisina,386011
tolmin,386023
trbovlje,386015
trebnje,386017
trnovska_vas,386012
trzic,386022
trzin,386021
turnisce,386011
velenje,386014
velika_polana,386011
velike_lasce,386021
verzej,386011
videm,386012
vipava,386023
vitanje,386014
vodice,386021
vojnik,386014
vransko,386014
vrhnika,386021
vuzenica,386013
zagorje_ob_savi,386015
zalec,386014
zavrc,386012
zelezniki,386022
zetale,386012
ziri,386022
zirovnica,386022
zrece,386014
zuzemberk,386017
