dateid,areaID,deaths
20230330,ce,1098
20230330,kk,409
20230330,kp,388
20230330,kr,750
20230330,lj,1897
20230330,mb,1872
20230330,ms,761
20230330,ng,519
20230330,nm,603
20230330,po,253
20230330,sg,352
20230330,si,9201
20230330,za,290
20230329,ce,1098
20230329,kk,409
20230329,kp,388
20230329,kr,750
20230329,lj,1897
20230329,mb,1872
20230329,ms,761
20230329,ng,519
20230329,nm,603
20230329,po,253
20230329,sg,352
20230329,si,9201
20230329,za,290
20230328,ce,1098
20230328,kk,409
20230328,kp,388
20230328,kr,750
20230328,lj,1897
20230328,mb,1872
20230328,ms,761
20230328,ng,519
20230328,nm,603
20230328,po,253
20230328,sg,352
20230328,si,9201
20230328,za,290
20230327,ce,1098
20230327,kk,409
20230327,kp,388
20230327,kr,750
20230327,lj,1897
20230327,mb,1872
20230327,ms,761
20230327,ng,519
20230327,nm,603
20230327,po,253
20230327,sg,352
20230327,si,9201
20230327,za,290
20230326,ce,1098
20230326,kk,409
20230326,kp,388
20230326,kr,750
20230326,lj,1897
20230326,mb,1872
20230326,ms,761
20230326,ng,519
20230326,nm,603
20230326,po,253
20230326,sg,352
20230326,si,9201
20230326,za,290
20230325,ce,1098
20230325,kk,409
20230325,kp,388
20230325,kr,750
20230325,lj,1897
20230325,mb,1872
20230325,ms,761
20230325,ng,519
20230325,nm,603
20230325,po,253
20230325,sg,352
20230325,si,9201
20230325,za,290
20230324,ce,1098
20230324,kk,409
20230324,kp,388
20230324,kr,750
20230324,lj,1897
20230324,mb,1872
20230324,ms,761
20230324,ng,519
20230324,nm,603
20230324,po,253
20230324,sg,352
20230324,si,9201
20230324,za,290
20230323,ce,1098
20230323,kk,409
20230323,kp,388
20230323,kr,750
20230323,lj,1897
20230323,mb,1872
20230323,ms,761
20230323,ng,519
20230323,nm,603
20230323,po,253
20230323,sg,352
20230323,si,9201
20230323,za,290
20230322,ce,1098
20230322,kk,409
20230322,kp,388
20230322,kr,750
20230322,lj,1897
20230322,mb,1872
20230322,ms,761
20230322,ng,519
20230322,nm,603
20230322,po,253
20230322,sg,352
20230322,si,9201
20230322,za,290
20230321,ce,1097
20230321,kk,409
20230321,kp,388
20230321,kr,750
20230321,lj,1897
20230321,mb,1872
20230321,ms,761
20230321,ng,519
20230321,nm,603
20230321,po,253
20230321,sg,352
20230321,si,9200
20230321,za,290
20230320,ce,1097
20230320,kk,409
20230320,kp,388
20230320,kr,750
20230320,lj,1897
20230320,mb,1872
20230320,ms,761
20230320,ng,519
20230320,nm,603
20230320,po,253
20230320,sg,352
20230320,si,9200
20230320,za,290
20230319,ce,1095
20230319,kk,409
20230319,kp,388
20230319,kr,750
20230319,lj,1897
20230319,mb,1872
20230319,ms,761
20230319,ng,519
20230319,nm,603
20230319,po,253
20230319,sg,351
20230319,si,9197
20230319,za,290
20230318,ce,1095
20230318,kk,409
20230318,kp,388
20230318,kr,750
20230318,lj,1897
20230318,mb,1871
20230318,ms,761
20230318,ng,519
20230318,nm,603
20230318,po,253
20230318,sg,351
20230318,si,9196
20230318,za,290
20230317,ce,1095
20230317,kk,409
20230317,kp,388
20230317,kr,750
20230317,lj,1897
20230317,mb,1870
20230317,ms,760
20230317,ng,519
20230317,nm,603
20230317,po,253
20230317,sg,349
20230317,si,9192
20230317,za,290
20230316,ce,1094
20230316,kk,409
20230316,kp,388
20230316,kr,750
20230316,lj,1897
20230316,mb,1868
20230316,ms,760
20230316,ng,519
20230316,nm,603
20230316,po,253
20230316,sg,349
20230316,si,9188
20230316,za,289
20230315,ce,1094
20230315,kk,409
20230315,kp,388
20230315,kr,750
20230315,lj,1896
20230315,mb,1868
20230315,ms,759
20230315,ng,519
20230315,nm,603
20230315,po,253
20230315,sg,349
20230315,si,9186
20230315,za,289
20230314,ce,1094
20230314,kk,409
20230314,kp,388
20230314,kr,750
20230314,lj,1895
20230314,mb,1866
20230314,ms,758
20230314,ng,519
20230314,nm,603
20230314,po,253
20230314,sg,349
20230314,si,9182
20230314,za,289
20230313,ce,1094
20230313,kk,409
20230313,kp,388
20230313,kr,749
20230313,lj,1894
20230313,mb,1865
20230313,ms,758
20230313,ng,519
20230313,nm,603
20230313,po,253
20230313,sg,349
20230313,si,9179
20230313,za,289
20230312,ce,1094
20230312,kk,409
20230312,kp,388
20230312,kr,749
20230312,lj,1894
20230312,mb,1862
20230312,ms,758
20230312,ng,519
20230312,nm,603
20230312,po,253
20230312,sg,349
20230312,si,9176
20230312,za,289
20230311,ce,1093
20230311,kk,409
20230311,kp,388
20230311,kr,749
20230311,lj,1894
20230311,mb,1860
20230311,ms,757
20230311,ng,519
20230311,nm,603
20230311,po,252
20230311,sg,349
20230311,si,9171
20230311,za,289
20230310,ce,1092
20230310,kk,409
20230310,kp,388
20230310,kr,749
20230310,lj,1894
20230310,mb,1860
20230310,ms,757
20230310,ng,519
20230310,nm,602
20230310,po,252
20230310,sg,349
20230310,si,9169
20230310,za,289
20230309,ce,1092
20230309,kk,409
20230309,kp,388
20230309,kr,749
20230309,lj,1894
20230309,mb,1859
20230309,ms,757
20230309,ng,519
20230309,nm,602
20230309,po,252
20230309,sg,349
20230309,si,9168
20230309,za,289
20230308,ce,1092
20230308,kk,409
20230308,kp,388
20230308,kr,749
20230308,lj,1894
20230308,mb,1858
20230308,ms,757
20230308,ng,519
20230308,nm,602
20230308,po,252
20230308,sg,349
20230308,si,9167
20230308,za,289
20230307,ce,1091
20230307,kk,409
20230307,kp,388
20230307,kr,749
20230307,lj,1894
20230307,mb,1857
20230307,ms,757
20230307,ng,519
20230307,nm,602
20230307,po,252
20230307,sg,348
20230307,si,9164
20230307,za,289
20230306,ce,1091
20230306,kk,409
20230306,kp,388
20230306,kr,749
20230306,lj,1894
20230306,mb,1857
20230306,ms,757
20230306,ng,519
20230306,nm,602
20230306,po,252
20230306,sg,348
20230306,si,9164
20230306,za,289
20230305,ce,1091
20230305,kk,409
20230305,kp,388
20230305,kr,749
20230305,lj,1893
20230305,mb,1857
20230305,ms,757
20230305,ng,518
20230305,nm,601
20230305,po,252
20230305,sg,348
20230305,si,9161
20230305,za,289
20230304,ce,1091
20230304,kk,409
20230304,kp,388
20230304,kr,749
20230304,lj,1892
20230304,mb,1857
20230304,ms,757
20230304,ng,518
20230304,nm,601
20230304,po,252
20230304,sg,348
20230304,si,9160
20230304,za,289
20230303,ce,1091
20230303,kk,409
20230303,kp,387
20230303,kr,749
20230303,lj,1891
20230303,mb,1857
20230303,ms,757
20230303,ng,518
20230303,nm,601
20230303,po,252
20230303,sg,348
20230303,si,9158
20230303,za,289
20230302,ce,1090
20230302,kk,409
20230302,kp,387
20230302,kr,747
20230302,lj,1891
20230302,mb,1856
20230302,ms,757
20230302,ng,518
20230302,nm,601
20230302,po,252
20230302,sg,348
20230302,si,9154
20230302,za,289
20230301,ce,1090
20230301,kk,409
20230301,kp,387
20230301,kr,747
20230301,lj,1890
20230301,mb,1855
20230301,ms,757
20230301,ng,518
20230301,nm,601
20230301,po,252
20230301,sg,348
20230301,si,9152
20230301,za,289
20230228,ce,1090
20230228,kk,409
20230228,kp,387
20230228,kr,747
20230228,lj,1889
20230228,mb,1855
20230228,ms,757
20230228,ng,518
20230228,nm,601
20230228,po,252
20230228,sg,348
20230228,si,9151
20230228,za,289
20230227,ce,1090
20230227,kk,409
20230227,kp,387
20230227,kr,747
20230227,lj,1889
20230227,mb,1855
20230227,ms,756
20230227,ng,518
20230227,nm,601
20230227,po,252
20230227,sg,348
20230227,si,9150
20230227,za,289
20230226,ce,1090
20230226,kk,409
20230226,kp,387
20230226,kr,747
20230226,lj,1888
20230226,mb,1854
20230226,ms,756
20230226,ng,518
20230226,nm,601
20230226,po,252
20230226,sg,348
20230226,si,9148
20230226,za,289
20230225,ce,1090
20230225,kk,409
20230225,kp,387
20230225,kr,747
20230225,lj,1888
20230225,mb,1853
20230225,ms,756
20230225,ng,518
20230225,nm,600
20230225,po,252
20230225,sg,348
20230225,si,9146
20230225,za,289
20230224,ce,1089
20230224,kk,409
20230224,kp,386
20230224,kr,747
20230224,lj,1886
20230224,mb,1853
20230224,ms,756
20230224,ng,518
20230224,nm,600
20230224,po,252
20230224,sg,348
20230224,si,9141
20230224,za,288
20230223,ce,1089
20230223,kk,409
20230223,kp,386
20230223,kr,747
20230223,lj,1885
20230223,mb,1852
20230223,ms,756
20230223,ng,517
20230223,nm,600
20230223,po,251
20230223,sg,348
20230223,si,9137
20230223,za,288
20230222,ce,1089
20230222,kk,409
20230222,kp,386
20230222,kr,747
20230222,lj,1885
20230222,mb,1851
20230222,ms,756
20230222,ng,517
20230222,nm,600
20230222,po,251
20230222,sg,348
20230222,si,9135
20230222,za,287
20230221,ce,1088
20230221,kk,409
20230221,kp,386
20230221,kr,747
20230221,lj,1883
20230221,mb,1851
20230221,ms,755
20230221,ng,516
20230221,nm,600
20230221,po,251
20230221,sg,348
20230221,si,9129
20230221,za,286
20230220,ce,1088
20230220,kk,409
20230220,kp,386
20230220,kr,747
20230220,lj,1883
20230220,mb,1850
20230220,ms,754
20230220,ng,516
20230220,nm,600
20230220,po,251
20230220,sg,348
20230220,si,9126
20230220,za,285
20230219,ce,1088
20230219,kk,409
20230219,kp,386
20230219,kr,747
20230219,lj,1881
20230219,mb,1850
20230219,ms,754
20230219,ng,516
20230219,nm,600
20230219,po,251
20230219,sg,348
20230219,si,9123
20230219,za,284
20230218,ce,1088
20230218,kk,409
20230218,kp,386
20230218,kr,747
20230218,lj,1881
20230218,mb,1850
20230218,ms,754
20230218,ng,516
20230218,nm,600
20230218,po,251
20230218,sg,348
20230218,si,9123
20230218,za,284
20230217,ce,1088
20230217,kk,409
20230217,kp,386
20230217,kr,747
20230217,lj,1881
20230217,mb,1848
20230217,ms,753
20230217,ng,516
20230217,nm,600
20230217,po,250
20230217,sg,348
20230217,si,9119
20230217,za,284
20230216,ce,1088
20230216,kk,409
20230216,kp,386
20230216,kr,747
20230216,lj,1881
20230216,mb,1848
20230216,ms,753
20230216,ng,516
20230216,nm,599
20230216,po,250
20230216,sg,348
20230216,si,9118
20230216,za,284
20230215,ce,1086
20230215,kk,409
20230215,kp,386
20230215,kr,747
20230215,lj,1881
20230215,mb,1846
20230215,ms,753
20230215,ng,516
20230215,nm,599
20230215,po,250
20230215,sg,348
20230215,si,9114
20230215,za,284
20230214,ce,1086
20230214,kk,409
20230214,kp,386
20230214,kr,746
20230214,lj,1880
20230214,mb,1846
20230214,ms,753
20230214,ng,516
20230214,nm,598
20230214,po,250
20230214,sg,348
20230214,si,9110
20230214,za,283
20230213,ce,1086
20230213,kk,409
20230213,kp,386
20230213,kr,746
20230213,lj,1880
20230213,mb,1846
20230213,ms,752
20230213,ng,516
20230213,nm,598
20230213,po,250
20230213,sg,348
20230213,si,9109
20230213,za,283
20230212,ce,1085
20230212,kk,409
20230212,kp,386
20230212,kr,745
20230212,lj,1880
20230212,mb,1844
20230212,ms,752
20230212,ng,516
20230212,nm,598
20230212,po,250
20230212,sg,348
20230212,si,9105
20230212,za,283
20230211,ce,1084
20230211,kk,409
20230211,kp,386
20230211,kr,745
20230211,lj,1880
20230211,mb,1843
20230211,ms,751
20230211,ng,516
20230211,nm,598
20230211,po,250
20230211,sg,348
20230211,si,9101
20230211,za,282
20230210,ce,1084
20230210,kk,409
20230210,kp,386
20230210,kr,745
20230210,lj,1880
20230210,mb,1842
20230210,ms,751
20230210,ng,514
20230210,nm,598
20230210,po,250
20230210,sg,348
20230210,si,9098
20230210,za,282
20230209,ce,1084
20230209,kk,409
20230209,kp,385
20230209,kr,745
20230209,lj,1880
20230209,mb,1842
20230209,ms,751
20230209,ng,514
20230209,nm,598
20230209,po,250
20230209,sg,348
20230209,si,9097
20230209,za,282
20230208,ce,1083
20230208,kk,409
20230208,kp,385
20230208,kr,744
20230208,lj,1880
20230208,mb,1842
20230208,ms,751
20230208,ng,514
20230208,nm,598
20230208,po,250
20230208,sg,348
20230208,si,9095
20230208,za,282
20230207,ce,1083
20230207,kk,409
20230207,kp,385
20230207,kr,744
20230207,lj,1879
20230207,mb,1842
20230207,ms,751
20230207,ng,514
20230207,nm,597
20230207,po,250
20230207,sg,348
20230207,si,9093
20230207,za,282
20230206,ce,1083
20230206,kk,409
20230206,kp,385
20230206,kr,744
20230206,lj,1879
20230206,mb,1842
20230206,ms,751
20230206,ng,514
20230206,nm,597
20230206,po,250
20230206,sg,348
20230206,si,9092
20230206,za,281
20230205,ce,1083
20230205,kk,408
20230205,kp,384
20230205,kr,744
20230205,lj,1879
20230205,mb,1840
20230205,ms,751
20230205,ng,514
20230205,nm,597
20230205,po,250
20230205,sg,347
20230205,si,9087
20230205,za,281
20230204,ce,1083
20230204,kk,408
20230204,kp,384
20230204,kr,744
20230204,lj,1879
20230204,mb,1838
20230204,ms,751
20230204,ng,514
20230204,nm,597
20230204,po,250
20230204,sg,347
20230204,si,9085
20230204,za,281
20230203,ce,1083
20230203,kk,408
20230203,kp,384
20230203,kr,744
20230203,lj,1879
20230203,mb,1838
20230203,ms,750
20230203,ng,514
20230203,nm,597
20230203,po,250
20230203,sg,347
20230203,si,9084
20230203,za,281
20230202,ce,1083
20230202,kk,408
20230202,kp,384
20230202,kr,744
20230202,lj,1878
20230202,mb,1838
20230202,ms,750
20230202,ng,514
20230202,nm,597
20230202,po,250
20230202,sg,347
20230202,si,9083
20230202,za,281
20230201,ce,1083
20230201,kk,408
20230201,kp,384
20230201,kr,744
20230201,lj,1877
20230201,mb,1838
20230201,ms,749
20230201,ng,514
20230201,nm,597
20230201,po,250
20230201,sg,347
20230201,si,9081
20230201,za,281
20230131,ce,1083
20230131,kk,408
20230131,kp,384
20230131,kr,742
20230131,lj,1877
20230131,mb,1838
20230131,ms,748
20230131,ng,514
20230131,nm,597
20230131,po,250
20230131,sg,347
20230131,si,9078
20230131,za,281
20230130,ce,1083
20230130,kk,408
20230130,kp,384
20230130,kr,742
20230130,lj,1877
20230130,mb,1838
20230130,ms,748
20230130,ng,514
20230130,nm,597
20230130,po,250
20230130,sg,347
20230130,si,9078
20230130,za,281
20230129,ce,1082
20230129,kk,408
20230129,kp,384
20230129,kr,742
20230129,lj,1877
20230129,mb,1838
20230129,ms,748
20230129,ng,514
20230129,nm,597
20230129,po,250
20230129,sg,346
20230129,si,9076
20230129,za,281
20230128,ce,1082
20230128,kk,408
20230128,kp,384
20230128,kr,741
20230128,lj,1877
20230128,mb,1838
20230128,ms,747
20230128,ng,514
20230128,nm,597
20230128,po,250
20230128,sg,346
20230128,si,9074
20230128,za,281
20230127,ce,1082
20230127,kk,408
20230127,kp,384
20230127,kr,741
20230127,lj,1876
