dateid,hospID,in_hospital,deaths,icu,criticalCare
20210909,bse,,1,,
20210909,bto,,0,,
20210909,niv,,,,
20210909,pbbe,,,,
20210909,pbid,,,,
20210909,pbor,,,,
20210909,pbvo,,,,
20210909,sbbr,,101,,
20210909,sbce,29,504,5,4
20210909,sbiz,17,112,,
20210909,sbje,10,121,,
20210909,sbms,21,353,,
20210909,sbng,12,179,,
20210909,sbnm,19,226,3,3
20210909,sbpt,,191,,
20210909,sbsg,9,169,,
20210909,sbtr,,104,,
20210909,si,269,4462,63,36
20210909,ukclj,77,648,31,17
20210909,ukcmb,51,599,18,12
20210909,ukg,24,183,6,0
20210909,upklj,,,,
20210908,bse,,1,,
20210908,bto,,0,,
20210908,niv,,,,
20210908,pbbe,,,,
20210908,pbid,,,,
20210908,pbor,,,,
20210908,pbvo,,,,
20210908,sbbr,,101,,
20210908,sbce,28,504,5,4
20210908,sbiz,,112,,
20210908,sbje,8,121,,
20210908,sbms,22,353,,
20210908,sbng,12,179,,
20210908,sbnm,17,226,3,3
20210908,sbpt,,191,,
20210908,sbsg,7,168,,
20210908,sbtr,,104,,
20210908,si,243,4461,62,37
20210908,ukclj,72,648,30,19
20210908,ukcmb,51,599,18,11
20210908,ukg,26,183,6,0
20210908,upklj,,,,
20210907,bse,,1,,
20210907,bto,,0,,
20210907,niv,,,,
20210907,pbbe,,,,
20210907,pbid,,,,
20210907,pbor,,,,
20210907,pbvo,,,,
20210907,sbbr,,101,,
20210907,sbce,32,502,5,5
20210907,sbiz,,112,,
20210907,sbje,7,120,,
20210907,sbms,20,353,,
20210907,sbng,14,179,,
20210907,sbnm,16,226,2,2
20210907,sbpt,,191,,
20210907,sbsg,3,168,,
20210907,sbtr,,104,,
20210907,si,229,4458,54,33
20210907,ukclj,69,648,28,18
20210907,ukcmb,44,599,13,8
20210907,ukg,24,183,6,0
20210907,upklj,,,,
20210906,bse,,1,,
20210906,bto,,0,,
20210906,niv,,,,
20210906,pbbe,,,,
20210906,pbid,,,,
20210906,pbor,,,,
20210906,pbvo,,,,
20210906,sbbr,,101,,
20210906,sbce,29,502,5,5
20210906,sbiz,,112,,
20210906,sbje,,120,,
20210906,sbms,20,353,,
20210906,sbng,14,179,,
20210906,sbnm,14,226,,
20210906,sbpt,,191,,
20210906,sbsg,,168,,
20210906,sbtr,,104,,
20210906,si,215,4456,49,29
20210906,ukclj,69,647,23,17
20210906,ukcmb,44,599,15,7
20210906,ukg,25,182,6,0
20210906,upklj,,,,
20210905,bse,,1,,
20210905,bto,,0,,
20210905,niv,,,,
20210905,pbbe,,,,
20210905,pbid,,,,
20210905,pbor,,,,
20210905,pbvo,,,,
20210905,sbbr,,101,,
20210905,sbce,31,502,4,4
20210905,sbiz,,112,,
20210905,sbje,,120,,
20210905,sbms,18,353,,
20210905,sbng,14,179,,
20210905,sbnm,14,226,,
20210905,sbpt,,191,,
20210905,sbsg,,168,,
20210905,sbtr,,104,,
20210905,si,209,4455,43,26
20210905,ukclj,70,646,21,16
20210905,ukcmb,38,599,12,6
20210905,ukg,24,182,6,0
20210905,upklj,,,,
20210904,bse,,1,,
20210904,bto,,0,,
20210904,niv,,,,
20210904,pbbe,,,,
20210904,pbid,,,,
20210904,pbor,,,,
20210904,pbvo,,,,
20210904,sbbr,,101,,
20210904,sbce,27,502,4,4
20210904,sbiz,,112,,
20210904,sbje,,120,,
20210904,sbms,14,353,,
20210904,sbng,14,179,,
20210904,sbnm,9,226,,
20210904,sbpt,,191,,
20210904,sbsg,,168,,
20210904,sbtr,,104,,
20210904,si,189,4455,44,23
20210904,ukclj,64,646,19,14
20210904,ukcmb,41,599,15,5
20210904,ukg,20,182,6,0
20210904,upklj,,,,
20210903,bse,,1,,
20210903,bto,,0,,
20210903,niv,,,,
20210903,pbbe,,,,
20210903,pbid,,,,
20210903,pbor,,,,
20210903,pbvo,,,,
20210903,sbbr,,101,,
20210903,sbce,30,502,4,1
20210903,sbiz,,112,,
20210903,sbje,,120,,
20210903,sbms,13,353,,
20210903,sbng,10,179,,
20210903,sbnm,2,226,,
20210903,sbpt,,191,,
20210903,sbsg,,168,,
20210903,sbtr,,104,,
20210903,si,180,4453,45,18
20210903,ukclj,63,645,20,12
20210903,ukcmb,39,598,15,5
20210903,ukg,23,182,6,0
20210903,upklj,,,,
20210902,bse,,1,,
20210902,bto,,0,,
20210902,niv,,,,
20210902,pbbe,,,,
20210902,pbid,,,,
20210902,pbor,,,,
20210902,pbvo,,,,
20210902,sbbr,,101,,
20210902,sbce,26,502,4,2
20210902,sbiz,,112,,
20210902,sbje,,120,,
20210902,sbms,13,353,,
20210902,sbng,,179,,
20210902,sbnm,,226,,
20210902,sbpt,,191,,
20210902,sbsg,,168,,
20210902,sbtr,,104,,
20210902,si,162,4453,42,18
20210902,ukclj,64,645,20,11
20210902,ukcmb,36,598,12,5
20210902,ukg,23,182,6,0
20210902,upklj,,,,
20210901,bse,,1,,
20210901,bto,,0,,
20210901,niv,,,,
20210901,pbbe,,,,
20210901,pbid,,,,
20210901,pbor,,,,
20210901,pbvo,,,,
20210901,sbbr,,101,,
20210901,sbce,26,502,4,4
20210901,sbiz,,112,,
20210901,sbje,,120,,
20210901,sbms,11,353,,
20210901,sbng,,179,,
20210901,sbnm,,226,,
20210901,sbpt,,191,,
20210901,sbsg,,168,,
20210901,sbtr,,104,,
20210901,si,159,4450,37,20
20210901,ukclj,62,643,18,11
20210901,ukcmb,36,598,10,5
20210901,ukg,24,181,5,0
20210901,upklj,,,,
20210831,bse,,1,,
20210831,bto,,0,,
20210831,niv,,,,
20210831,pbbe,,,,
20210831,pbid,,,,
20210831,pbor,,,,
20210831,pbvo,,,,
20210831,sbbr,,101,,
20210831,sbce,23,502,2,1
20210831,sbiz,,112,,
20210831,sbje,,120,,
20210831,sbms,6,353,,
20210831,sbng,,179,,
20210831,sbnm,,226,,
20210831,sbpt,,191,,
20210831,sbsg,,168,,
20210831,sbtr,,104,,
20210831,si,146,4450,31,15
20210831,ukclj,60,643,16,10
20210831,ukcmb,37,598,10,4
20210831,ukg,20,181,3,0
20210831,upklj,,,,
20210830,bse,,1,,
20210830,bto,,0,,
20210830,niv,,,,
20210830,pbbe,,,,
20210830,pbid,,,,
20210830,pbor,,,,
20210830,pbvo,,,,
20210830,sbbr,,101,,
20210830,sbce,19,502,1,1
20210830,sbiz,,112,,
20210830,sbje,,120,,
20210830,sbms,,353,,
20210830,sbng,,179,,
20210830,sbnm,,226,,
20210830,sbpt,,191,,
20210830,sbsg,,168,,
20210830,sbtr,,104,,
20210830,si,141,4449,27,15
20210830,ukclj,67,642,17,10
20210830,ukcmb,37,598,9,4
20210830,ukg,18,181,,
20210830,upklj,,,,
20210829,bse,,1,,
20210829,bto,,0,,
20210829,niv,,,,
20210829,pbbe,,,,
20210829,pbid,,,,
20210829,pbor,,,,
20210829,pbvo,,,,
20210829,sbbr,,101,,
20210829,sbce,15,501,1,1
20210829,sbiz,,112,,
20210829,sbje,,120,,
20210829,sbms,,353,,
20210829,sbng,,179,,
20210829,sbnm,,226,,
20210829,sbpt,,191,,
20210829,sbsg,,168,,
20210829,sbtr,,104,,
20210829,si,129,4448,23,13
20210829,ukclj,63,642,15,9
20210829,ukcmb,33,598,7,3
20210829,ukg,18,181,,
20210829,upklj,,,,
20210828,bse,,1,,
20210828,bto,,0,,
20210828,niv,,,,
20210828,pbbe,,,,
20210828,pbid,,,,
20210828,pbor,,,,
20210828,pbvo,,,,
20210828,sbbr,,101,,
20210828,sbce,17,501,0,0
20210828,sbiz,,112,,
20210828,sbje,,120,,
20210828,sbms,,353,,
20210828,sbng,,179,,
20210828,sbnm,,226,,
20210828,sbpt,,191,,
20210828,sbsg,,168,,
20210828,sbtr,,104,,
20210828,si,121,4448,22,11
20210828,ukclj,58,642,15,8
20210828,ukcmb,30,598,7,3
20210828,ukg,16,181,,
20210828,upklj,,,,
20210827,bse,,1,,
20210827,bto,,0,,
20210827,niv,,,,
20210827,pbbe,,,,
20210827,pbid,,,,
20210827,pbor,,,,
20210827,pbvo,,,,
20210827,sbbr,,101,,
20210827,sbce,14,501,0,0
20210827,sbiz,,112,,
20210827,sbje,,120,,
20210827,sbms,,353,,
20210827,sbng,,179,,
20210827,sbnm,,226,,
20210827,sbpt,,191,,
20210827,sbsg,,168,,
20210827,sbtr,,104,,
20210827,si,117,4446,22,12
20210827,ukclj,58,642,14,7
20210827,ukcmb,30,597,8,5
20210827,ukg,15,180,,
20210827,upklj,,,,
20210826,bse,,1,,
20210826,bto,,0,,
20210826,niv,,,,
20210826,pbbe,,,,
20210826,pbid,,,,
20210826,pbor,,,,
20210826,pbvo,,,,
20210826,sbbr,,101,,
20210826,sbce,10,501,0,0
20210826,sbiz,,112,,
20210826,sbje,,120,,
20210826,sbms,,353,,
20210826,sbng,,179,,
20210826,sbnm,,226,,
20210826,sbpt,,191,,
20210826,sbsg,,168,,
20210826,sbtr,,104,,
20210826,si,105,4444,18,11
20210826,ukclj,53,641,9,7
20210826,ukcmb,28,596,9,4
20210826,ukg,14,180,,
20210826,upklj,,,,
20210825,bse,,1,,
20210825,bto,,0,,
20210825,niv,,,,
20210825,pbbe,,,,
20210825,pbid,,,,
20210825,pbor,,,,
20210825,pbvo,,,,
20210825,sbbr,,101,,
20210825,sbce,6,501,1,1
20210825,sbiz,,112,,
20210825,sbje,,120,,
20210825,sbms,,353,,
20210825,sbng,,179,,
20210825,sbnm,,226,,
20210825,sbpt,,191,,
20210825,sbsg,,168,,
20210825,sbtr,,104,,
20210825,si,89,4443,19,11
20210825,ukclj,52,640,9,7
20210825,ukcmb,23,596,9,3
20210825,ukg,8,180,,
20210825,upklj,,,,
20210824,bse,,1,,
20210824,bto,,0,,
20210824,niv,,,,
20210824,pbbe,,,,
20210824,pbid,,,,
20210824,pbor,,,,
20210824,pbvo,,,,
20210824,sbbr,,101,,
20210824,sbce,6,500,1,1
20210824,sbiz,,112,,
20210824,sbje,,120,,
20210824,sbms,,353,,
20210824,sbng,,179,,
20210824,sbnm,,226,,
20210824,sbpt,,191,,
20210824,sbsg,,168,,
20210824,sbtr,,104,,
20210824,si,86,4442,19,10
20210824,ukclj,52,640,10,6
20210824,ukcmb,24,596,8,3
20210824,ukg,4,180,,
20210824,upklj,,,,
20210823,bse,,1,,
20210823,bto,,0,,
20210823,niv,,,,
20210823,pbbe,,,,
20210823,pbid,,,,
20210823,pbor,,,,
20210823,pbvo,,,,
20210823,sbbr,,101,,
20210823,sbce,0,500,0,0
20210823,sbiz,,112,,
20210823,sbje,,120,,
20210823,sbms,,353,,
20210823,sbng,,179,,
20210823,sbnm,,226,,
20210823,sbpt,,191,,
20210823,sbsg,,168,,
20210823,sbtr,,104,,
20210823,si,75,4441,18,10
20210823,ukclj,51,639,10,7
20210823,ukcmb,24,596,8,3
20210823,ukg,0,180,,
20210823,upklj,,,,
20210822,bse,,1,,
20210822,bto,,0,,
20210822,niv,,,,
20210822,pbbe,,,,
20210822,pbid,,,,
20210822,pbor,,,,
20210822,pbvo,,,,
20210822,sbbr,,101,,
20210822,sbce,,500,,
20210822,sbiz,,112,,
20210822,sbje,,120,,
20210822,sbms,,353,,
20210822,sbng,,179,,
20210822,sbnm,,226,,
20210822,sbpt,,191,,
20210822,sbsg,,168,,
20210822,sbtr,,104,,
20210822,si,66,4440,17,9
20210822,ukclj,45,638,9,6
20210822,ukcmb,21,596,8,3
20210822,ukg,,180,,
20210822,upklj,,,,
20210821,bse,,1,,
20210821,bto,,0,,
20210821,niv,,,,
20210821,pbbe,,,,
20210821,pbid,,,,
20210821,pbor,,,,
20210821,pbvo,,,,
20210821,sbbr,,101,,
20210821,sbce,,500,,
20210821,sbiz,,112,,
20210821,sbje,,120,,
20210821,sbms,,353,,
20210821,sbng,,179,,
20210821,sbnm,,226,,
20210821,sbpt,,191,,
20210821,sbsg,,168,,
20210821,sbtr,,104,,
20210821,si,66,4438,15,8
20210821,ukclj,46,637,10,5
20210821,ukcmb,20,595,5,3
20210821,ukg,,180,,
20210821,upklj,,,,
20210820,bse,,1,,
20210820,bto,,0,,
20210820,niv,,,,
20210820,pbbe,,,,
20210820,pbid,,,,
20210820,pbor,,,,
20210820,pbvo,,,,
20210820,sbbr,,101,,
20210820,sbce,,500,,
20210820,sbiz,,112,,
20210820,sbje,,120,,
20210820,sbms,,353,,
20210820,sbng,,179,,
20210820,sbnm,,226,,
20210820,sbpt,,191,,
20210820,sbsg,,168,,
20210820,sbtr,,104,,
20210820,si,54,4438,12,7
20210820,ukclj,38,637,8,5
20210820,ukcmb,16,595,4,2
20210820,ukg,,180,,
20210820,upklj,,,,
20210819,bse,,1,,
20210819,bto,,0,,
