dateid,areaID,activeCases
20220417,ce,2457
20220417,kk,1140
20220417,kp,1012
20220417,kr,2239
20220417,lj,5653
20220417,mb,2799
20220417,ms,1103
20220417,ng,1769
20220417,nm,1885
20220417,po,492
20220417,sg,963
20220417,si,22326
20220417,za,638
20220416,ce,2482
20220416,kk,1153
20220416,kp,1037
20220416,kr,2249
20220416,lj,5756
20220416,mb,2880
20220416,ms,1166
20220416,ng,1798
20220416,nm,1928
20220416,po,506
20220416,sg,995
20220416,si,22767
20220416,za,640
20220415,ce,2537
20220415,kk,1154
20220415,kp,1077
20220415,kr,2279
20220415,lj,5884
20220415,mb,2900
20220415,ms,1204
20220415,ng,1830
20220415,nm,1946
20220415,po,500
20220415,sg,1000
20220415,si,23142
20220415,za,649
20220414,ce,2656
20220414,kk,1161
20220414,kp,1187
20220414,kr,2364
20220414,lj,6154
20220414,mb,3091
20220414,ms,1283
20220414,ng,1918
20220414,nm,2030
20220414,po,525
20220414,sg,1044
20220414,si,24268
20220414,za,679
20220413,ce,2740
20220413,kk,1164
20220413,kp,1280
20220413,kr,2456
20220413,lj,6471
20220413,mb,3267
20220413,ms,1351
20220413,ng,1990
20220413,nm,2103
20220413,po,569
20220413,sg,1066
20220413,si,25334
20220413,za,703
20220412,ce,2878
20220412,kk,1189
20220412,kp,1382
20220412,kr,2539
20220412,lj,6819
20220412,mb,3483
20220412,ms,1444
20220412,ng,2078
20220412,nm,2200
20220412,po,602
20220412,sg,1106
20220412,si,26615
20220412,za,724
20220411,ce,3042
20220411,kk,1198
20220411,kp,1475
20220411,kr,2641
20220411,lj,7232
20220411,mb,3704
20220411,ms,1566
20220411,ng,2188
20220411,nm,2320
20220411,po,634
20220411,sg,1145
20220411,si,28070
20220411,za,753
20220410,ce,3203
20220410,kk,1234
20220410,kp,1608
20220410,kr,2754
20220410,lj,7752
20220410,mb,3996
20220410,ms,1677
20220410,ng,2321
20220410,nm,2487
20220410,po,696
20220410,sg,1226
20220410,si,29933
20220410,za,807
20220409,ce,3226
20220409,kk,1245
20220409,kp,1648
20220409,kr,2766
20220409,lj,7838
20220409,mb,4111
20220409,ms,1713
20220409,ng,2335
20220409,nm,2523
20220409,po,704
20220409,sg,1239
20220409,si,30343
20220409,za,814
20220408,ce,3287
20220408,kk,1249
20220408,kp,1696
20220408,kr,2779
20220408,lj,8006
20220408,mb,4211
20220408,ms,1771
20220408,ng,2374
20220408,nm,2539
20220408,po,706
20220408,sg,1274
20220408,si,30893
20220408,za,817
20220407,ce,3436
20220407,kk,1246
20220407,kp,1805
20220407,kr,2881
20220407,lj,8226
20220407,mb,4389
20220407,ms,1854
20220407,ng,2463
20220407,nm,2623
20220407,po,736
20220407,sg,1313
20220407,si,31993
20220407,za,832
20220406,ce,3542
20220406,kk,1260
20220406,kp,1892
20220406,kr,2928
20220406,lj,8425
20220406,mb,4564
20220406,ms,1959
20220406,ng,2555
20220406,nm,2687
20220406,po,785
20220406,sg,1366
20220406,si,33006
