dateid,areaID,confirmedCases
20210626,ce,34195
20210626,kk,10004
20210626,kp,11472
20210626,kr,26869
20210626,lj,63406
20210626,mb,38475
20210626,ms,15965
20210626,ng,12561
20210626,nm,19689
20210626,po,6242
20210626,sg,9642
20210626,si,257240
20210626,za,6984
20210625,ce,34195
20210625,kk,10004
20210625,kp,11472
20210625,kr,26867
20210625,lj,63402
20210625,mb,38471
20210625,ms,15964
20210625,ng,12560
20210625,nm,19689
20210625,po,6242
20210625,sg,9641
20210625,si,257221
20210625,za,6983
20210624,ce,34194
20210624,kk,10004
20210624,kp,11472
20210624,kr,26866
20210624,lj,63398
20210624,mb,38469
20210624,ms,15963
20210624,ng,12560
20210624,nm,19688
20210624,po,6242
20210624,sg,9641
20210624,si,257210
20210624,za,6983
20210623,ce,34191
20210623,kk,10002
20210623,kp,11466
20210623,kr,26860
20210623,lj,63388
20210623,mb,38464
20210623,ms,15963
20210623,ng,12556
20210623,nm,19686
20210623,po,6242
20210623,sg,9641
20210623,si,257164
20210623,za,6978
20210622,ce,34187
20210622,kk,9999
20210622,kp,11462
20210622,kr,26857
20210622,lj,63376
20210622,mb,38460
20210622,ms,15959
20210622,ng,12554
20210622,nm,19685
20210622,po,6240
20210622,sg,9641
20210622,si,257121
20210622,za,6975
20210621,ce,34181
20210621,kk,9998
20210621,kp,11459
20210621,kr,26849
20210621,lj,63365
20210621,mb,38453
20210621,ms,15957
20210621,ng,12552
20210621,nm,19679
20210621,po,6238
20210621,sg,9641
20210621,si,257068
20210621,za,6973
20210620,ce,34177
20210620,kk,9998
20210620,kp,11453
20210620,kr,26842
20210620,lj,63342
20210620,mb,38447
20210620,ms,15956
20210620,ng,12549
20210620,nm,19674
20210620,po,6234
20210620,sg,9641
20210620,si,257002
20210620,za,6970
20210619,ce,34176
20210619,kk,9997
20210619,kp,11453
20210619,kr,26839
20210619,lj,63338
20210619,mb,38444
20210619,ms,15953
20210619,ng,12549
20210619,nm,19673
20210619,po,6234
20210619,sg,9640
20210619,si,256983
20210619,za,6969
20210618,ce,34175
20210618,kk,9996
20210618,kp,11453
20210618,kr,26837
20210618,lj,63331
20210618,mb,38437
20210618,ms,15952
20210618,ng,12547
20210618,nm,19673
20210618,po,6234
20210618,sg,9639
20210618,si,256957
20210618,za,6969
20210617,ce,34170
20210617,kk,9991
20210617,kp,11448
20210617,kr,26831
20210617,lj,63308
20210617,mb,38417
20210617,ms,15949
20210617,ng,12544
20210617,nm,19668
20210617,po,6233
20210617,sg,9639
20210617,si,256873
20210617,za,6967
20210616,ce,34159
20210616,kk,9988
20210616,kp,11444
20210616,kr,26826
20210616,lj,63284
20210616,mb,38404
20210616,ms,15943
20210616,ng,12542
20210616,nm,19660
20210616,po,6228
20210616,sg,9634
20210616,si,256785
20210616,za,6965
20210615,ce,34148
20210615,kk,9984
20210615,kp,11433
20210615,kr,26819
20210615,lj,63257
20210615,mb,38401
20210615,ms,15942
20210615,ng,12537
20210615,nm,19657
20210615,po,6221
20210615,sg,9634
20210615,si,256703
20210615,za,6963
20210614,ce,34144
20210614,kk,9980
20210614,kp,11429
20210614,kr,26804
20210614,lj,63218
20210614,mb,38376
20210614,ms,15942
20210614,ng,12529
20210614,nm,19653
20210614,po,6216
20210614,sg,9634
20210614,si,256586
20210614,za,6959
20210613,ce,34126
20210613,kk,9972
20210613,kp,11418
