dateid,areaID,deaths
20210407,ce,498
20210407,kk,174
20210407,kp,162
20210407,kr,377
20210407,lj,876
20210407,mb,856
20210407,ms,438
20210407,ng,266
20210407,nm,311
20210407,po,100
20210407,sg,202
20210407,si,4369
20210407,za,107
20210406,ce,498
20210406,kk,174
20210406,kp,162
20210406,kr,377
20210406,lj,876
20210406,mb,856
20210406,ms,438
20210406,ng,266
20210406,nm,311
20210406,po,100
20210406,sg,202
20210406,si,4369
20210406,za,107
20210405,ce,498
20210405,kk,174
20210405,kp,162
20210405,kr,377
20210405,lj,876
20210405,mb,856
20210405,ms,438
20210405,ng,266
20210405,nm,311
20210405,po,100
20210405,sg,202
20210405,si,4369
20210405,za,107
20210404,ce,498
20210404,kk,174
20210404,kp,162
20210404,kr,377
20210404,lj,876
20210404,mb,856
20210404,ms,438
20210404,ng,266
20210404,nm,311
20210404,po,100
20210404,sg,202
20210404,si,4369
20210404,za,107
20210403,ce,498
20210403,kk,174
20210403,kp,162
20210403,kr,377
20210403,lj,876
20210403,mb,856
20210403,ms,438
20210403,ng,265
20210403,nm,311
20210403,po,100
20210403,sg,202
20210403,si,4368
20210403,za,107
20210402,ce,497
20210402,kk,174
20210402,kp,162
20210402,kr,377
20210402,lj,876
20210402,mb,856
20210402,ms,438
20210402,ng,265
20210402,nm,311
20210402,po,100
20210402,sg,202
20210402,si,4367
20210402,za,107
20210401,ce,497
20210401,kk,174
20210401,kp,162
20210401,kr,377
20210401,lj,876
20210401,mb,856
20210401,ms,438
20210401,ng,265
20210401,nm,311
20210401,po,100
20210401,sg,202
20210401,si,4367
20210401,za,107
20210331,ce,495
20210331,kk,174
20210331,kp,162
20210331,kr,377
20210331,lj,876
20210331,mb,852
20210331,ms,438
20210331,ng,264
20210331,nm,311
20210331,po,100
20210331,sg,201
20210331,si,4358
20210331,za,106
20210330,ce,495
20210330,kk,174
20210330,kp,162
20210330,kr,377
20210330,lj,876
20210330,mb,850
20210330,ms,438
20210330,ng,263
20210330,nm,311
20210330,po,100
20210330,sg,201
20210330,si,4355
20210330,za,106
20210329,ce,492
20210329,kk,174
20210329,kp,161
20210329,kr,377
20210329,lj,876
20210329,mb,847
20210329,ms,438
20210329,ng,263
20210329,nm,311
20210329,po,99
20210329,sg,200
20210329,si,4345
20210329,za,105
20210328,ce,491
20210328,kk,174
20210328,kp,161
20210328,kr,377
20210328,lj,875
20210328,mb,845
20210328,ms,437
20210328,ng,260
20210328,nm,310
20210328,po,99
20210328,sg,200
20210328,si,4335
20210328,za,105
20210327,ce,491
20210327,kk,174
20210327,kp,161
