dateId,areaCode,country,areaName,totalTestResults,totalTestDailyResults,isLeaf
20220217,3300,fr,france_entiere,244395189,366245,False
20220217,3301,fr,ile_de_france,52287912,78227,False
20220217,330101,fr,paris,12881546,20083,True
20220217,330102,fr,seine_et_marne,4980693,6820,True
20220217,330103,fr,yvelines,5244665,7993,True
20220217,330104,fr,essonne,4595070,6175,True
20220217,330105,fr,hauts_de_seine,7406265,11555,True
20220217,330106,fr,seine_saint_denis,6504975,10589,True
20220217,330107,fr,val_de_marne,5869786,8415,True
20220217,330108,fr,val_doise,4804912,6597,True
20220217,3302,fr,centre_val_de_loire,6871543,9893,False
20220217,330201,fr,cher,734205,1342,True
20220217,330202,fr,eure_et_loir,1118144,1315,True
20220217,330203,fr,indre,501039,926,True
20220217,330204,fr,indre_et_loire,1793009,2593,True
20220217,330205,fr,loir_et_cher,801150,1219,True
20220217,330206,fr,loiret,1923996,2498,True
20220217,3303,fr,bourgogne_franche_comte,8430308,12718,False
20220217,330301,fr,cote_dor,1682741,2633,True
20220217,330302,fr,doubs,1829150,2507,True
20220217,330303,fr,jura_fr,821587,1310,True
20220217,330304,fr,nievre,502619,801,True
20220217,330305,fr,haute_saone,664149,1157,True
20220217,330306,fr,saone_et_loire,1495304,2250,True
20220217,330307,fr,yonne,967841,1375,True
20220217,330308,fr,territoire_de_belfort,466917,685,True
20220217,3304,fr,normandie,9839092,13011,False
20220217,330401,fr,calvados,2255737,3318,True
20220217,330402,fr,eure,1542021,1746,True
20220217,330403,fr,manche,1222332,2063,True
20220217,330404,fr,orne,766671,1140,True
20220217,330405,fr,seine_maritime,4052331,4744,True
20220217,3305,fr,hauts_de_france,20625730,27641,False
20220217,330501,fr,aisne,1427004,1981,True
20220217,330502,fr,nord,10211133,13487,True
20220217,330503,fr,oise,2584747,2888,True
20220217,330504,fr,pas_de_calais,4708557,6840,True
20220217,330505,fr,somme,1694289,2445,True
20220217,3306,fr,grand_est,20591253,30434,False
20220217,330601,fr,ardennes,936553,1367,True
20220217,330602,fr,aube,939683,1277,True
20220217,330603,fr,marne,1771510,2468,True
20220217,330604,fr,haute_marne,475893,635,True
20220217,330605,fr,meurthe_et_moselle,2711618,4034,True
